"filename", "language", "Python", "pip requirements", "JSON", "comment", "blank", "total"
"c:\Users\Vitalii\Projects\pc-hub\backend\backup.json", "JSON", 0, 0, 12025, 0, 1, 12026
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\admin.py", "Python", 68, 0, 0, 0, 15, 83
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\apps.py", "Python", 4, 0, 0, 0, 3, 7
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\management\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\management\commands\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\management\commands\clear_carts.py", "Python", 22, 0, 0, 0, 10, 32
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\migrations\0001_initial.py", "Python", 36, 0, 0, 1, 7, 44
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\migrations\0002_initial.py", "Python", 35, 0, 0, 1, 7, 43
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\models.py", "Python", 85, 0, 0, 0, 18, 103
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\serializers.py", "Python", 7, 0, 0, 0, 5, 12
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\tests.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\urls.py", "Python", 8, 0, 0, 0, 3, 11
"c:\Users\Vitalii\Projects\pc-hub\backend\cart\views.py", "Python", 253, 0, 0, 0, 31, 284
"c:\Users\Vitalii\Projects\pc-hub\backend\core\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Vitalii\Projects\pc-hub\backend\core\admin.py", "Python", 31, 0, 0, 0, 14, 45
"c:\Users\Vitalii\Projects\pc-hub\backend\core\apps.py", "Python", 4, 0, 0, 0, 3, 7
"c:\Users\Vitalii\Projects\pc-hub\backend\core\management\commands\__init__.py", "Python", 0, 0, 0, 0, 1, 1
